;Correct;Total;Wrong;Percentage;ROIDifference;Straightness;Execution;Search;Groupe;Overlap
table-easy1;7;13;6;53.846157;6.974189;98.653854;9.020000;8.985000;653108.812500;0.025000
table-easy2;7;13;6;53.846157;2050.955322;0.000000;9.010000;8.959000;-9.690000;0.037000
table-easy3;7;13;6;53.846157;199.801758;99.252136;8.607000;8.549000;-9.281000;0.043000
table-easy4;3;13;10;23.076923;147.672684;99.038467;8.862000;8.796000;-9.556000;0.057000
table-easy5;8;13;5;61.538464;1055.130493;98.782051;8.891000;8.804000;-9.569000;0.072000
table-easy6;6;13;7;46.153847;449.932922;99.358978;8.713000;8.675000;-9.400000;0.032000
table-hard1;4;13;9;30.769232;215.470657;92.756424;8.223000;8.198000;-8.897000;0.019000
table-hard2;0;13;13;0.000000;2068.301514;85.940178;7.619000;7.586000;-8.287000;0.026000
table-hard3;6;13;7;46.153847;1181.255859;94.487175;8.658000;8.619000;-9.352000;0.029000
table-hard4;4;13;9;30.769232;1003.952332;94.252144;8.523000;8.498000;-9.203000;0.017000
table-hard5;1;13;12;7.692308;11.038528;94.957268;8.023000;8.001000;-8.705000;0.017000
table-hard6;3;13;10;23.076923;7.793399;93.632477;8.043000;8.011000;-8.724000;0.026000
table-hard7;5;13;8;38.461540;316.411194;96.282043;8.458000;8.402000;-9.103000;0.034000
table-medium1;5;13;8;38.461540;2607.503906;98.354698;8.671000;8.621000;-9.327000;0.032000
table-medium2;5;13;8;38.461540;865.684692;97.414520;8.081000;7.978000;-8.735000;0.095000
table-medium3;4;12;8;33.333336;1581.182129;96.313133;8.487000;8.449000;-9.149000;0.031000
table-medium4;3;13;10;23.076923;245.331268;98.589737;8.585000;8.534000;-9.248000;0.044000
table-medium5;4;13;9;30.769232;11.945233;98.482903;8.760000;8.683000;-9.444000;0.070000
table-medium6;2;13;11;15.384616;3.401388;97.991463;8.600000;8.547000;-9.255000;0.037000
table-medium7;8;13;5;61.538464;149.186005;98.076920;8.632000;8.585000;-9.294000;0.036000
table-medium8;5;13;8;38.461540;10.544001;98.290596;8.812000;8.765000;-9.494000;0.039000
